"P_SYS_ID","P_QSTNR_SK","P_QSTNR_TY_CD","P_QSTNR_OCC_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276794,1640543,"24",01-JAN-00,27,"GUESTUSER",14-JUL-14 01.57.54.342000000 PM,"GUESTUSER",11-APR-13 10.14.32.474000000 AM
1276794,1640544,"23",01-JAN-00,27,"GUESTUSER",14-JUL-14 01.57.54.341000000 PM,"GUESTUSER",11-APR-13 10.14.32.474000000 AM
1276794,1640545,"22",05-MAY-09,27,"GUESTUSER",14-JUL-14 01.57.54.340000000 PM,"GUESTUSER",11-APR-13 10.14.32.474000000 AM
1276847,1641321,"22",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.080000000 PM,"GUESTUSER",16-APR-13 04.03.38.736000000 PM
1276847,1641322,"21",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.079000000 PM,"GUESTUSER",16-APR-13 04.03.38.736000000 PM
1276847,1641323,"20",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.079000000 PM,"GUESTUSER",16-APR-13 04.03.38.736000000 PM
1276847,1641324,"19",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.078000000 PM,"GUESTUSER",16-APR-13 04.03.38.737000000 PM
1276847,1641325,"06",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.078000000 PM,"GUESTUSER",16-APR-13 04.03.38.737000000 PM
1276847,1641326,"18",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.083000000 PM,"GUESTUSER",16-APR-13 04.03.38.737000000 PM
1276847,1641327,"27",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.082000000 PM,"GUESTUSER",16-APR-13 04.03.38.737000000 PM
1276847,1641328,"12",31-DEC-99,35,"GUESTUSER",09-JAN-14 03.30.48.082000000 PM,"GUESTUSER",16-APR-13 04.03.38.738000000 PM
1276847,1641329,"08",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.082000000 PM,"GUESTUSER",16-APR-13 04.03.38.738000000 PM
1276847,1641330,"07",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.081000000 PM,"GUESTUSER",16-APR-13 04.03.38.738000000 PM
1276847,1641331,"13",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.081000000 PM,"GUESTUSER",16-APR-13 04.03.38.738000000 PM
1276847,1641332,"14",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.080000000 PM,"GUESTUSER",16-APR-13 04.03.38.739000000 PM
1276847,1641333,"15",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.080000000 PM,"GUESTUSER",16-APR-13 04.03.38.739000000 PM
1276847,1641334,"02",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.079000000 PM,"GUESTUSER",16-APR-13 04.03.38.739000000 PM
1276847,1641335,"16",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.078000000 PM,"GUESTUSER",16-APR-13 04.03.38.739000000 PM
1276847,1641336,"17",01-JAN-00,35,"GUESTUSER",09-JAN-14 03.30.48.077000000 PM,"GUESTUSER",16-APR-13 04.03.38.740000000 PM
1276807,1641337,"29",01-JAN-00,21,"GUESTUSER",24-APR-13 09.33.51.791000000 AM,"GUESTUSER",16-APR-13 04.13.41.751000000 PM
1276807,1641338,"30",31-DEC-99,21,"GUESTUSER",24-APR-13 09.33.51.791000000 AM,"GUESTUSER",16-APR-13 04.13.41.751000000 PM
1276807,1641339,"31",01-JAN-00,21,"GUESTUSER",24-APR-13 09.33.51.790000000 AM,"GUESTUSER",16-APR-13 04.13.41.751000000 PM
1276807,1641340,"32",01-JAN-00,21,"GUESTUSER",24-APR-13 09.33.51.789000000 AM,"GUESTUSER",16-APR-13 04.13.41.751000000 PM
1276855,1641345,"38",01-JAN-00,6,"guestUser",17-APR-13 09.59.43.521000000 AM,"guestUser",17-APR-13 09.22.04.553000000 AM
1276855,1641346,"40",01-JAN-00,6,"guestUser",17-APR-13 09.59.43.520000000 AM,"guestUser",17-APR-13 09.22.04.553000000 AM
1276856,1641349,"35",01-JAN-00,40,"GUESTUSER",18-AUG-14 08.13.06.145000000 AM,"GUESTUSER",17-APR-13 09.33.51.522000000 AM
1276856,1641350,"34",01-JAN-00,40,"GUESTUSER",18-AUG-14 08.13.06.144000000 AM,"GUESTUSER",17-APR-13 09.33.51.522000000 AM
1276856,1641351,"26",01-JAN-00,45,"GUESTUSER",18-AUG-14 08.13.06.149000000 AM,"GUESTUSER",17-APR-13 09.33.51.522000000 AM
1276856,1641352,"25",01-JAN-00,45,"GUESTUSER",18-AUG-14 08.13.06.144000000 AM,"GUESTUSER",17-APR-13 09.33.51.523000000 AM
1276856,1641353,"24",01-JAN-00,45,"GUESTUSER",18-AUG-14 08.13.06.148000000 AM,"GUESTUSER",17-APR-13 09.33.51.523000000 AM
1276856,1641354,"23",01-JAN-00,45,"GUESTUSER",18-AUG-14 08.13.06.143000000 AM,"GUESTUSER",17-APR-13 09.33.51.524000000 AM
1276856,1641355,"22",01-JAN-00,45,"GUESTUSER",18-AUG-14 08.13.06.147000000 AM,"GUESTUSER",17-APR-13 09.33.51.524000000 AM
1276758,1639482,"07",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.349000000 AM,"guestUser",04-APR-13 09.45.54.551000000 AM
1276758,1639483,"08",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.348000000 AM,"guestUser",04-APR-13 09.45.54.552000000 AM
1276758,1639484,"26",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.347000000 AM,"guestUser",04-APR-13 09.45.54.552000000 AM
1276758,1639485,"25",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.346000000 AM,"guestUser",04-APR-13 09.45.54.552000000 AM
1276758,1639486,"02",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.346000000 AM,"guestUser",04-APR-13 09.45.54.552000000 AM
1276758,1639487,"16",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.346000000 AM,"guestUser",04-APR-13 09.45.54.553000000 AM
1276758,1639488,"17",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.345000000 AM,"guestUser",04-APR-13 09.45.54.553000000 AM
1276758,1639489,"18",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.351000000 AM,"guestUser",04-APR-13 09.45.54.553000000 AM
1276758,1639490,"06",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.350000000 AM,"guestUser",04-APR-13 09.45.54.553000000 AM
1276758,1639491,"19",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.349000000 AM,"guestUser",04-APR-13 09.45.54.554000000 AM
1276758,1639492,"20",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.349000000 AM,"guestUser",04-APR-13 09.45.54.554000000 AM
1276758,1639493,"21",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.349000000 AM,"guestUser",04-APR-13 09.45.54.554000000 AM
1276758,1639494,"22",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.348000000 AM,"guestUser",04-APR-13 09.45.54.555000000 AM
1276758,1639495,"23",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.348000000 AM,"guestUser",04-APR-13 09.45.54.555000000 AM
1276758,1639496,"24",01-JAN-00,20,"guestUser",10-APR-13 10.52.40.347000000 AM,"guestUser",04-APR-13 09.45.54.555000000 AM
1276792,1640107,"40",01-JAN-00,9,"guestUser",17-APR-13 10.10.23.728000000 AM,"guestUser",10-APR-13 10.28.04.459000000 AM
1276786,1640108,"26",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.286000000 PM,"GUESTUSER",10-APR-13 10.29.43.421000000 AM
1276786,1640109,"25",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.286000000 PM,"GUESTUSER",10-APR-13 10.29.43.422000000 AM
1276786,1640110,"24",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.285000000 PM,"GUESTUSER",10-APR-13 10.29.43.422000000 AM
1276786,1640111,"23",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.284000000 PM,"GUESTUSER",10-APR-13 10.29.43.422000000 AM
1276786,1640112,"22",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.284000000 PM,"GUESTUSER",10-APR-13 10.29.43.423000000 AM
1276786,1640113,"21",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.283000000 PM,"GUESTUSER",10-APR-13 10.29.43.423000000 AM
1276786,1640114,"20",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.282000000 PM,"GUESTUSER",10-APR-13 10.29.43.423000000 AM
1276786,1640115,"19",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.288000000 PM,"GUESTUSER",10-APR-13 10.29.43.423000000 AM
1276786,1640116,"06",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.288000000 PM,"GUESTUSER",10-APR-13 10.29.43.424000000 AM
1276786,1640117,"18",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.287000000 PM,"GUESTUSER",10-APR-13 10.29.43.424000000 AM
1276786,1640118,"27",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.287000000 PM,"GUESTUSER",10-APR-13 10.29.43.424000000 AM
1276786,1640119,"12",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.286000000 PM,"GUESTUSER",10-APR-13 10.29.43.424000000 AM
1276786,1640120,"08",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.286000000 PM,"GUESTUSER",10-APR-13 10.29.43.424000000 AM
1276786,1640121,"07",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.285000000 PM,"GUESTUSER",10-APR-13 10.29.43.425000000 AM
1276786,1640122,"13",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.285000000 PM,"GUESTUSER",10-APR-13 10.29.43.425000000 AM
1276786,1640123,"14",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.284000000 PM,"GUESTUSER",10-APR-13 10.29.43.425000000 AM
1276786,1640124,"15",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.283000000 PM,"GUESTUSER",10-APR-13 10.29.43.426000000 AM
1276786,1640125,"02",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.283000000 PM,"GUESTUSER",10-APR-13 10.29.43.426000000 AM
1276786,1640126,"16",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.288000000 PM,"GUESTUSER",10-APR-13 10.29.43.426000000 AM
1276786,1640127,"17",01-JAN-00,10,"GUESTUSER",12-JUN-14 01.56.05.287000000 PM,"GUESTUSER",10-APR-13 10.29.43.426000000 AM
1276772,1640129,"32",01-JAN-00,5,"GUESTUSER",15-APR-13 09.58.30.059000000 AM,"GUESTUSER",10-APR-13 10.35.23.962000000 AM
1276772,1640130,"31",01-JAN-00,5,"GUESTUSER",15-APR-13 09.58.30.058000000 AM,"GUESTUSER",10-APR-13 10.35.23.962000000 AM
1276772,1640131,"30",31-DEC-99,5,"GUESTUSER",15-APR-13 09.58.30.058000000 AM,"GUESTUSER",10-APR-13 10.35.23.963000000 AM
1276772,1640132,"29",31-DEC-99,5,"GUESTUSER",15-APR-13 09.58.30.057000000 AM,"GUESTUSER",10-APR-13 10.35.23.963000000 AM
1276792,1640133,"36",01-JAN-00,7,"GUESTUSER",17-APR-13 10.10.23.729000000 AM,"GUESTUSER",10-APR-13 10.42.17.371000000 AM
